period,stock_code,start_date,end_date
2022-06-08,ADRO,2022-06-08,2022-08-01
2022-06-08,AMRT,2022-06-08,2022-08-01
2022-06-08,ANTM,2022-06-08,2022-08-01
2022-06-08,ASII,2022-06-08,2022-08-01
2022-06-08,BBCA,2022-06-08,2022-08-01
2022-06-08,BBNI,2022-06-08,2022-08-01
2022-06-08,BBRI,2022-06-08,2022-08-01
2022-06-08,BBTN,2022-06-08,2022-08-01
2022-06-08,BFIN,2022-06-08,2022-08-01
2022-06-08,BMRI,2022-06-08,2022-08-01
2022-06-08,BRPT,2022-06-08,2022-08-01
2022-06-08,BUKA,2022-06-08,2022-08-01
2022-06-08,CPIN,2022-06-08,2022-08-01
2022-06-08,EMTK,2022-06-08,2022-08-01
2022-06-08,ERAA,2022-06-08,2022-08-01
2022-06-08,EXCL,2022-06-08,2022-08-01
2022-06-08,GGRM,2022-06-08,2022-08-01
2022-06-08,GOTO,2022-06-08,2022-08-01
2022-06-08,HMSP,2022-06-08,2022-08-01
2022-06-08,HRUM,2022-06-08,2022-08-01
2022-06-08,ICBP,2022-06-08,2022-08-01
2022-06-08,INCO,2022-06-08,2022-08-01
2022-06-08,INDF,2022-06-08,2022-08-01
2022-06-08,INKP,2022-06-08,2022-08-01
2022-06-08,INTP,2022-06-08,2022-08-01
2022-06-08,ITMG,2022-06-08,2022-08-01
2022-06-08,JPFA,2022-06-08,2022-08-01
2022-06-08,KLBF,2022-06-08,2022-08-01
2022-06-08,MDKA,2022-06-08,2022-08-01
2022-06-08,MEDC,2022-06-08,2022-08-01
2022-06-08,MIKA,2022-06-08,2022-08-01
2022-06-08,MNCN,2022-06-08,2022-08-01
2022-06-08,PGAS,2022-06-08,2022-08-01
2022-06-08,PTBA,2022-06-08,2022-08-01
2022-06-08,PTPP,2022-06-08,2022-08-01
2022-06-08,SMGR,2022-06-08,2022-08-01
2022-06-08,TBIG,2022-06-08,2022-08-01
2022-06-08,TINS,2022-06-08,2022-08-01
2022-06-08,TKIM,2022-06-08,2022-08-01
2022-06-08,TLKM,2022-06-08,2022-08-01
2022-06-08,TOWR,2022-06-08,2022-08-01
2022-06-08,TPIA,2022-06-08,2022-08-01
2022-06-08,UNTR,2022-06-08,2022-08-01
